inst1neutrala, "Este experimento irá testar como você usa ou ignora uma informação na hora de tomar uma decisão. Nesta tarefa você deverá determinar a direção da seta central em um conjunto de cinco setas. Se ela estiver apontando para a esquerda, pressione a tecla '"
inst1neutralb, "' com o dedo indicador da mão esquerda. Se estiver apontando para a direita, pressione a tecla '"
inst1neutralc,"' com o dedo indicador da mão direita. Responda o mais rápido que puder. As setas em torno da seta central ou estarão apontando para a mesma direção, ou para a direção oposta, ou aparecerão apenas linhas. Você deve sempre ignorá-las e responder apenas à seta central. Alguns exemplos estão mostrados abaixo.\n\nPressione a barra de espaços para continuar."
inst1noneutrala,"Este experimento irá testar como você usa ou ignora uma informação na hora de tomar uma decisão. Nesta tarefa você deverá determinar a direção da seta central em um conjunto de cinco setas. Se ela estiver apontando para a esquerda, pressione a tecla '"
inst1noneutralb,"' com o dedo indicador da mão esquerda. Se estiver apontando para a direita, pressione a tecla '"
inst1noneutralc,"' com o dedo indicador da mão direita. Responda o mais rápido que puder. As setas em torno da seta central ou estarão apontando para a mesma direção, ou para a direção oposta, ou não aparecerão. Você deve sempre ignorá-las e responder apenas à seta central. Alguns exemplos estão mostrados abaixo.\n\nPressione a barra de espaços para continuar."
inst2a,"Além disso, você vai ver uma cruz no centro da tela. As setas aparecerão um pouco acima ou um pouco abaixo do centro da tela. Antes de cada seta, algumas vezes aparecerá um '"
inst2b,"' dando uma dica de onde as setas aparecerão. Se um único * aparecer acima ou abaixo do centro da tela, as setas aparecerão naquele lugar.  Pode ocorrer também do "
inst2c,"aparecer no centro, ou aparecer nas duas posições (um acima e outro abaixo), ou mesmo não aparecer. Nestes casos você não saberá se as setas aparecerão acima ou abaixo do centro.\n\nPressione qualquer tecla para ver exemplos de estímulos e as respostas corretas esperadas."
Inst2Addon,"Pressione a barra de espaços quando já tiver visto exemplos suficientes."
inst3text,"O experimento possui 4 blocos. O primeiro é um treino e leva cerca de 2 minutos. Os outros três blocos contam para o experimento e duram cerca de 5 minutos cada. Você vai começar o bloco de treino, apenas neste bloco você será informado se você acertou e quanto tempo você levou para responder (em milésimos de segundo). Responda o mais rápido e preciso que puder.\n\nSe você ainda tiver alguma dúvida pergunte ao examinador, caso contrário pressione qualquer tecla para iniciar."
inst3textnort,"O experimento possui 4 blocos. O primeiro é um treino e leva cerca de 2 minutos. Os outros três blocos contam para o experimento e duram cerca de 5 minutos cada. Você vai começar o bloco de treino, apenas neste bloco você será informado se você acertou. Responda o mais rápido e preciso que puder.\n\nSe você ainda tiver alguma dúvida pergunte ao examinador, caso contrário pressione qualquer tecla para iniciar."
instrema,"\nLembre-se: use as teclas '"
instremb,"' e '"
instremc,"' para responder
footerL,"shift esquerdo"
footerR, "shift direito"
interblock, "Descanse um pouco e pressione qualquer tecla quando estiver pronto para começar o próximo bloco."
debrief,"Obrigado por participar do estudo. Por favor avise ao pesquisador que você terminou."
correct,"Certo"
incorrect,"Errado"
author,"Paulo Moraes"
