subNum,direction,run,cond,trial,middle,number,bigger,resp,corr,rt
0,1,1,1,1,5,9,1,<left>,0,655
0,1,1,1,2,5,3,0,<left>,1,712
0,1,1,1,3,5,2,0,<left>,1,582
0,1,1,1,4,5,7,1,<right>,1,458
0,1,1,1,5,5,8,1,<right>,1,582
0,1,1,1,6,5,4,0,<left>,1,816
0,1,1,1,7,5,6,1,<right>,1,659
0,1,1,1,8,5,1,0,<left>,1,576
0,1,1,1,9,5,2,0,<left>,1,576
0,1,1,1,10,5,9,1,<right>,1,842
0,1,1,1,11,5,7,1,<right>,1,1088
0,1,1,1,12,5,3,0,<left>,1,830
0,1,1,1,13,5,8,1,<right>,1,564
0,1,1,1,14,5,1,0,<left>,1,591
0,1,1,1,15,5,4,0,<left>,1,813
0,1,1,1,16,5,6,1,<right>,1,2325
0,1,1,1,17,5,6,1,<right>,1,435
0,1,1,1,18,5,4,0,<left>,1,1528
0,1,1,1,19,5,9,1,<right>,1,981
0,1,1,1,20,5,2,0,<left>,1,534
0,1,1,1,21,5,8,1,<right>,1,667
0,1,1,1,22,5,7,1,<right>,1,725
0,1,1,1,23,5,3,0,<left>,1,484
0,1,1,1,24,5,1,0,<left>,1,539
0,1,1,1,25,5,3,0,<left>,1,838
0,1,1,1,26,5,7,1,<left>,0,661
