inst1, "In this game, you will try to roll the ball onto the target.  The direction and strength of the roll are controlled by moving the mouse.  When you are ready, click the mouse button.  The size of the red bar indicates the strength, and the direction of the line indicates the heading of the ball.  If the line is pulled back all the way, it will almost reach the end of the screen.  Try a few rolls for practice."
target,"target"
aim,"Aim and shoot"
inmotion,"Ball in motion"
practice,"Practice trial"
trial,"/<I> of <N>"
statusanother,"Try another practice trial."
statuscomplete,"Practice complete. Click the mouse to begin"
debrief,"Thank you.  You completed <SUM> trials accurately."
hit,"Hit. Click mouse to continue."
miss,"Miss. Click mouse to continue."
