inst1,"Za chwile wezmiesz udzial w badaniu polegajacym na sortowaniu kart. Twoim zadaniem bedzie dopasowywanie kart do jednej z tych czterech kart wzorcowych (nacisnij dowolny klawisz aby zobaczyc karty wzorcowe."
inst2key,"Bedziemy pokazywac Ci kolejne karty, a Twoim zadaniem bedzie decyzja, do ktorego wzorca pasuje dana karta. Aby wybrac wzorzec, musisz nacisnac przycisk 1,2,3 lub 4 w gornej czesci klawiatury. Nie mozemy powiedziec Ci wedlug jakiej zasady dopasowywac karty, ale po kazdej probie dostaniesz informacje czy udzieliles (-as) poprawnej odpowiedzi, czy nie. Nacisnij dowolny klawisz aby kontynuowac."
inst2mouse,"Bedziemy pokazywac Ci kolejne karty, a Twoim zadaniem bedzie decyzja, do ktorego wzorca pasuje dana karta. Aby wybrac wzorzec, musisz nacisnac przycisk 1,2,3 lub 4 w gornej czesci klawiatury. Nie mozemy powiedziec Ci wedlug jakiej zasady dopasowywac karty, ale po kazdej probie dostaniesz informacje czy udzieliles (-as) poprawnej odpowiedzi, czy nie. Nacisnij dowolny klawisz aby kontynuowac."
inst3,"W tym tescie nie ma ograniczen czasu. Jesli jestes gotowy (-a), nacisnij dowolny klawisz aby rozpoczac..."
debrief,"To juz koniec testu. Powiadom eksperymentatora ze skonczyles (-as). Dziekujemy!"
continuekey,"Nacisnij 1, 2, 3 lub 4 aby dopasowac kartę"
continuemouse,"Kliknij przyciskiem myszki na kartę aby dopasowac kartę"
headerkey,"Nacisnij 1, 2, 3 lub 4 aby dopasowac kartę""
headermouse,"Kliknij przyciskiem myszki na kartę aby dopasowac kartę"
correct,"DOBRZE!"
incorrect,"ZLE!"
