inst1,"Você está prestes a participar de uma avaliação em que você precisa classificar cartas baseado nas figuras que aparecem nelas.  Para começar, você verá quatro pilhas."
inst2key,"Cada pilha tem número, cor e forma diferentes.  Você verá uma série de cartas e precisa determinar a qual pilha elas pertecem. Pressione de 1-4 no alto do teclado para determinar a pilha a que cada nova carta pertence.  A resposta correta depende de uma regra, mas você não saberá qual é regra.  Porém, nós lhe diremos em cada rodada se você está ou não correto. Pressione qualquer tecla para continuar."
inst2mouse,"Cada pilha tem número, cor e forma diferentes.  Você verá uma série de cartas e precisa determinar a qual pilha elas pertecem. Clique em uma pilha com o apontador do mouse para determinar a pilha a que cada nova carta pertence.  A resposta correta depende de uma regra, mas você não saberá qual é regra.  Porém, nós lhe diremos em cada rodada se você está ou não correto. Clique com o mouse para continuar."
inst3,"Finalmente, a regra mudará durante a tarefa, de forma que, quando isso ocorrer, você deverá descobrir qual é a nova regra o mais rápido possível e mudar com ela."
debrief,"(UNTRANSLATED) Ya puedes marcharte. Avisa al experimentador de que has terminado."
continuemouse," Clique o botão do mouse para começar."
continuekey,"Pressione qualquer tecla para começar."
headerkey,"Pressione 1-4 para classificar a carta"
headermouse,"Clique na pilha para classificar a carta"
correct,"Correto!"
incorrect,"Incorreto"
author,"Arthur Kummer"
