inst1mouse,"¡Bienvenido!\nEn este juego tú le ayudarás a un burrito a juntar todas las manzanas posibles que saldrán de cualquiera de las cuatro puertas, pero debes tener cuidado por que al abrir las puertas puedes perder manzanas, si pierdes manzanas se verán con un tachecito. La barra de abajo te dirá si vas a ganando o perdiendo."
inst1key,"¡Bienvenido!\nEn este juego tú le ayudarás a un burrito a juntar todas las manzanas posibles que saldrán de cualquiera de las cuatro puertas, pero debes tener cuidado por que al abrir las puertas puedes perder manzanas, si pierdes manzanas se verán con un tachecito. La barra de abajo te dirá si vas a ganando o perdiendo."
inst2,"Selecciona la puerta\nmediante un click con el ratón. Haz un click con el ratón para iniciar el juego \n¡Recuerda! Debes obtener el mayor número de manzanas.\n¿Estás listo?"
headerkey,"Select door by pressing corresponding key (cvbn)"
headermouse,"Escoge la puerta haciendo clic sobre ella."
total,"Total: "
apples," manzanas."
feedback1,"Gracias por participar en el experimento. "
congrats,"Felicidades! "
feedback3," Presiona la X para salir. "
author,"Gabriel Gudalupe de Gyves Montes"
