inst1mouse,"Please make sure no keys are pressed.\nMake sure that the numlock and scroll lock keys are untoggled."
inst1key, " Choose a door by pressing the C V B or N key. Press any key to begin."
inst2, "Most egy olyan játékot fogsz játszani, amiben egy szamárnak segítesz, hogy almához jusson. Minden ajtó mögött van pár alma, amit a szamár megkaphat, de minden ajtó megnyitásakor el is veszíthet a szamár egy pár almát. Az egérrel tudod kiválasztani, hogy melyik ajtó nyíljon ki. Tessék, itt az egér, kezdheted."
headerkey,"Select door by pressing corresponding key (cvbn)"
headermouse, "Kattints az egérrel, hogy kiválaszd az ajtót"
total,"Osszesen "
apples," alma"
feedback1,"Thank you for participating in the experiment. You earned a total of "
congrats,"Congratulations! "
feedback3," You may now leave.  Please alert the experimenter that you are done. Press the X key to exit."
author,"Krisztina Lakatos"
