color1,"rojo"
color2,"azul"
color3,"verde"
color4,"amarillo"
black,"negro"
word1,"cuando"
word2,"dura"
word3,"fin"
word4,"sobre"
correct,"Correcto"
incorrect,"Incorrecto"
tooslow,"Demasiado lento"
keyheader,"1 = rojo   2 = azul  3 = verde  4 = amarillo"
sayheader,"Decir 'rojo', 'azul', 'verde', o 'amarillo'"
practiceText,"Antes de comenzar toma un momento para que aprendas la relación entre los colores y los números en el teclado que corresponden a cada uno. Presiona los números del 1 al 4 consecutivamente para practicar las respuestas y la barra de espacio para comenzar la prueba."
InstructionsBase,"Vas a realizar una prueba en la que determinarás el color con el que están escritas un grupo de palabras. En algunos casos las palabras serán nombres de colores. Debes evitar presionar el botón que corresponde con el nombre del color y responder solamente con el número del color con el que la palabra está coloreada."
KeyManual,"Debes responder empleando los números 1-2-3-4  que aparecen en la parte superior del teclado."
KeyVocal,"You will need to respond by saying the color of the written word, loudly and clearly, into the microphone."
Break1Text,"Ha concluido la práctica. Ahora responderás la prueba real. Recuerda responder lo más rápido y preciso que puedas. Presiona cualquier tecla para comenzar."
Break2Text," Presiona cualquier tecla para comenzar."
PracticeHeaderText,"PRÁCTICA"
TestHeaderText,"PRUEBA"
footer1textmanual,"Presiona <KEYSTRING> para el color de la palabrad"
footer1textmanual2," Presiona  <KEYSTRING> or '5' for other error."
footer1textvocal,"Say '<KEYSTRING>' for the color that appears on the screen"
footer2text,"Responder con rapidez y precisión."
exit,"You are now finished. Thank you for participating."
